City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,as sulayyil,20.4607,45.5779,290.29,23,0,6.73,SA,1706982221
199,margaret river,-33.95,115.0667,289.92,59,56,6.8,AU,1706981863
200,vorkuta,67.5,64.0,254.97,90,100,4.54,RU,1706982121
201,yorosso,12.3536,-4.7761,304.77,10,1,4.17,ML,1706982221
202,hermanus,-34.4187,19.2345,298.6,67,76,4.41,ZA,1706982221
203,bredasdorp,-34.5322,20.0403,298.05,69,87,3.4,ZA,1706982222
204,wynyard,-41.0,145.7167,288.15,94,70,1.87,AU,1706982222
205,lorgues,43.4936,6.3611,286.83,74,44,0.45,FR,1706982222
206,mae ramat,16.984,98.5166,294.71,61,0,0.54,TH,1706982222
207,lesogorsk,56.0458,99.5136,256.44,98,100,0.89,RU,1706982222
208,bamboo flat,11.7,92.7167,298.2,88,13,0.0,IN,1706982222
209,sao paulo de olivenca,-3.3783,-68.8725,303.19,68,97,1.36,BR,1706982222
210,manbij,36.5281,37.9549,280.11,88,100,4.31,SY,1706982222
211,kidal,18.4411,1.4078,295.01,7,32,5.07,ML,1706982222
212,georgetown,5.4112,100.3354,302.11,87,20,1.54,MY,1706981576
213,raymondville,26.4815,-97.7831,298.3,31,12,8.91,US,1706982223
214,businga,3.3333,20.8833,300.55,30,92,0.66,CD,1706982223
215,san francisco de la paz,14.9,-86.2,301.99,43,6,1.77,HN,1706982223
216,college,64.8569,-147.8028,234.51,63,100,1.54,US,1706982223
217,kattivakkam,13.2167,80.3167,299.2,77,16,4.39,IN,1706982223
218,tendukheda,23.4,79.55,292.31,41,0,0.14,IN,1706982223
219,muroto-misakicho,33.2833,134.15,282.12,91,100,8.84,JP,1706982033
220,burela de cabo,43.65,-7.4,286.5,91,7,4.5,ES,1706982223
221,farafangana,-22.8167,47.8333,298.02,74,61,3.45,MG,1706982223
222,sao francisco,-15.9486,-44.8644,302.27,57,93,2.05,BR,1706982223
223,poronaysk,49.2167,143.1167,250.56,97,9,1.99,RU,1706982051
224,bratsk,56.1325,101.6142,254.42,99,96,0.83,RU,1706982224
225,bodo,67.28,14.405,273.17,69,40,9.77,NO,1706982224
226,alesund,62.4723,6.1549,279.12,59,75,13.89,NO,1706982224
227,alo,7.4178,6.7371,305.67,15,59,1.94,NG,1706982224
228,ust-nera,64.5667,143.2,246.61,99,99,1.97,RU,1706982224
229,siwa oasis,29.2041,25.5195,286.76,44,0,2.38,EG,1706982224
230,seybaplaya,19.65,-90.6667,301.85,56,0,2.79,MX,1706982224
231,sil-li,39.4947,125.4736,267.35,81,9,2.19,KP,1706982225
232,homer,59.6425,-151.5483,262.08,75,100,8.05,US,1706982225
233,crane,31.3974,-102.3501,286.57,31,0,14.98,US,1706982225
234,labrador city,52.9463,-66.9114,258.1,51,40,0.0,CA,1706982032
